cod_municipio_ibge,nom_municipio,nom_regional,qtd_populacao_estimada
421560,SANTA ROSA DE LIMA,SUL,2142
421565,SANTA ROSA DO SUL,SUL,8358
421567,SANTA TEREZINHA,ALTO VALE DO ITAJAI,8787
421568,SANTA TEREZINHA DO PROGRESSO,GRANDE OESTE,2428
421569,SANTIAGO DO SUL,GRANDE OESTE,1260
421570,SANTO AMARO DA IMPERATRIZ,GRANDE FLORIANOPOLIS,23245
421575,SAO BERNARDINO,GRANDE OESTE,2336
421580,SAO BENTO DO SUL,PLANALTO NORTE E NORDESTE,84507
421590,SAO BONIFACIO,GRANDE FLORIANOPOLIS,2838
421600,SAO CARLOS,GRANDE OESTE,11281
421605,SAO CRISTOVAO DO SUL,MEIO OESTE E SERRA CATARINENSE,5549
421610,SAO DOMINGOS,GRANDE OESTE,9445
421620,SAO FRANCISCO DO SUL,PLANALTO NORTE E NORDESTE,52721
421625,SAO JOAO DO OESTE,GRANDE OESTE,6381
421630,SAO JOAO BATISTA,GRANDE FLORIANOPOLIS,37424
421635,SAO JOAO DO ITAPERIU,PLANALTO NORTE E NORDESTE,3733
421640,SAO JOAO DO SUL,SUL,7297
421650,SAO JOAQUIM,MEIO OESTE E SERRA CATARINENSE,26952
421660,SAO JOSE,GRANDE FLORIANOPOLIS,246586
421670,SAO JOSE DO CEDRO,GRANDE OESTE,13829
421680,SAO JOSE DO CERRITO,MEIO OESTE E SERRA CATARINENSE,8295
421690,SAO LOURENCO DO OESTE,GRANDE OESTE,24076
421700,SAO LUDGERO,SUL,13410
421710,SAO MARTINHO,SUL,3180
421715,SAO MIGUEL DA BOA VISTA,GRANDE OESTE,1820
421720,SAO MIGUEL DO OESTE,GRANDE OESTE,40482
421725,SAO PEDRO DE ALCANTARA,GRANDE FLORIANOPOLIS,5823
421730,SAUDADES,GRANDE OESTE,9745
421740,SCHROEDER,PLANALTO NORTE E NORDESTE,21365
421750,SEARA,MEIO OESTE E SERRA CATARINENSE,17541
421755,SERRA ALTA,GRANDE OESTE,3263
421760,SIDEROPOLIS,SUL,14007
421770,SOMBRIO,SUL,30374
421775,SUL BRASIL,GRANDE OESTE,2461
421780,TAIO,ALTO VALE DO ITAJAI,18395
421790,TANGARA,MEIO OESTE E SERRA CATARINENSE,8676
421795,TIGRINHOS,GRANDE OESTE,1633
421800,TIJUCAS,GRANDE FLORIANOPOLIS,38407
421810,TIMBE DO SUL,SUL,5348
421820,TIMBO,ALTO VALE DO ITAJAI,44238
421825,TIMBO GRANDE,MEIO OESTE E SERRA CATARINENSE,7877
421830,TRES BARRAS,PLANALTO NORTE E NORDESTE,19275
421835,TREVISO,SUL,3929
421840,TREZE DE MAIO,SUL,7081
421850,TREZE TILIAS,MEIO OESTE E SERRA CATARINENSE,7840
421860,TROMBUDO CENTRAL,ALTO VALE DO ITAJAI,7360
421870,TUBARAO,SUL,105686
421875,TUNAPOLIS,GRANDE OESTE,4543
421880,TURVO,SUL,12899
421885,UNIAO DO OESTE,GRANDE OESTE,2464
421890,URUBICI,MEIO OESTE E SERRA CATARINENSE,11235
421895,URUPEMA,MEIO OESTE E SERRA CATARINENSE,2465
