country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-24,-46,-23,-65,-65,-20,14
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-25,-48,-20,-64,-59,-17,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-26,-60,-32,-66,-64,-22,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-27,-47,-29,-74,-68,-20,14
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-28,-45,-25,-70,-65,-21,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-29,-42,-22,-53,-63,-19,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-30,-35,-5,-55,-59,-19,9
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-01,-66,-43,-62,-73,-68,24
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-02,-44,-12,-64,-59,-21,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-03,-58,-31,-69,-62,-20,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-04,-41,-19,-69,-63,-17,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-05,-41,-17,-70,-61,-19,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-06,-38,-13,-63,-63,-18,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-07,-30,-5,-55,-58,-17,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-08,-29,-2,-64,-57,-15,12
